CHEBI:58041 CHEBI:63551,CHEBI:29067,CHEBI:61660
CHEBI:38810 CHEBI:24067
CHEBI:57529 CHEBI:63551,CHEBI:35757
CHEBI:43314 CHEBI:48384,CHEBI:29347,CHEBI:22512
CHEBI:60213 CHEBI:36233
CHEBI:66903 CHEBI:36683,CHEBI:22702,CHEBI:26421,CHEBI:35850
CHEBI:71957 CHEBI:48864,CHEBI:35358,CHEBI:33860,CHEBI:38771
CHEBI:52377 CHEBI:52320
CHEBI:1159 CHEBI:26069
CHEBI:69038 CHEBI:50860
CHEBI:65666 CHEBI:33308,CHEBI:22315,CHEBI:38164,CHEBI:50994,CHEBI:35681,CHEBI:24436,CHEBI:33599,CHEBI:37622
CHEBI:66826 CHEBI:71548,CHEBI:26979,CHEBI:47622,CHEBI:37407,CHEBI:35990,CHEBI:36054
CHEBI:73393 CHEBI:46761
CHEBI:47994 CHEBI:27164
CHEBI:20741 CHEBI:63387
CHEBI:32751 CHEBI:32754
CHEBI:17012 CHEBI:21622
CHEBI:66110 CHEBI:35213,CHEBI:17478,CHEBI:51026,CHEBI:37141
CHEBI:43766 CHEBI:47976,CHEBI:21731,CHEBI:19569
CHEBI:58442 CHEBI:27092,CHEBI:36141,CHEBI:50918
CHEBI:40861 CHEBI:37143,CHEBI:35272,CHEBI:33704
CHEBI:75594 CHEBI:7754
CHEBI:67998 CHEBI:50860
CHEBI:30481 CHEBI:36649
CHEBI:58756 CHEBI:58945
CHEBI:72789 CHEBI:26208,CHEBI:6497,CHEBI:15904,CHEBI:24654
CHEBI:72308 CHEBI:51689,CHEBI:47622,CHEBI:25698,CHEBI:52340,CHEBI:35871
CHEBI:46967 CHEBI:46965
CHEBI:66693 CHEBI:33823,CHEBI:74223
CHEBI:60250 CHEBI:36914,CHEBI:36904
CHEBI:27774 CHEBI:36755
CHEBI:27007 CHEBI:33306,CHEBI:33521
CHEBI:52122 CHEBI:52165
CHEBI:52742 CHEBI:17797
CHEBI:69338 CHEBI:50860
CHEBI:48356 CHEBI:48354,CHEBI:39141
CHEBI:61682 CHEBI:17976,CHEBI:26253
CHEBI:70288 CHEBI:50860
CHEBI:70687 CHEBI:50860
CHEBI:65075 CHEBI:22479
CHEBI:30160 CHEBI:24834
CHEBI:63912 CHEBI:26344
CHEBI:43207 CHEBI:38785,CHEBI:35358,CHEBI:24650,CHEBI:22702
CHEBI:50981 CHEBI:32863
CHEBI:50687 CHEBI:36807
CHEBI:68914 CHEBI:61778,CHEBI:63367,CHEBI:22798,CHEBI:24129
CHEBI:66495 CHEBI:35213,CHEBI:51026
CHEBI:17322 CHEBI:33426
CHEBI:49131 CHEBI:49130,CHEBI:49128
CHEBI:64410 CHEBI:33566,CHEBI:22723,CHEBI:35618
CHEBI:65018 CHEBI:47779
CHEBI:71189 CHEBI:50995,CHEBI:51308
CHEBI:74609 CHEBI:33184,CHEBI:15489,CHEBI:51006
CHEBI:65756 CHEBI:24669,CHEBI:33308,CHEBI:25872,CHEBI:63567,CHEBI:61778
CHEBI:32620 CHEBI:32628
CHEBI:28918 CHEBI:33568
CHEBI:36473 CHEBI:35662,CHEBI:35191
CHEBI:29132 CHEBI:55378,CHEBI:50193
CHEBI:23792 CHEBI:26373
CHEBI:58131 CHEBI:58945
CHEBI:50335 CHEBI:35352,CHEBI:25696
CHEBI:51793 CHEBI:18299
CHEBI:16566 CHEBI:46968
CHEBI:35415 CHEBI:64769
CHEBI:29115 CHEBI:38340
CHEBI:60831 CHEBI:55380,CHEBI:38418,CHEBI:25106
CHEBI:20838 CHEBI:38645,CHEBI:26567
CHEBI:63389 CHEBI:35262
CHEBI:60152 CHEBI:25002,CHEBI:22485
CHEBI:74508 CHEBI:64775
CHEBI:18310 CHEBI:24632,CHEBI:33653
CHEBI:66178 CHEBI:74223,CHEBI:33308,CHEBI:33823,CHEBI:36785,CHEBI:26878
CHEBI:64853 CHEBI:60345,CHEBI:25095
CHEBI:70322 CHEBI:50860
CHEBI:68663 CHEBI:68662
CHEBI:50213 CHEBI:50220
CHEBI:65995 CHEBI:51689,CHEBI:64419,CHEBI:33853,CHEBI:35681,CHEBI:35618
CHEBI:36235 CHEBI:50160,CHEBI:36078,CHEBI:35757
CHEBI:43927 CHEBI:38785,CHEBI:23003
CHEBI:27870 CHEBI:47857,CHEBI:37622,CHEBI:38295,CHEBI:15705,CHEBI:38297,CHEBI:25095
CHEBI:27583 CHEBI:37427
CHEBI:27886 CHEBI:21169
CHEBI:65833 CHEBI:51702,CHEBI:36744,CHEBI:26979,CHEBI:37581,CHEBI:51689
CHEBI:65633 CHEBI:35681,CHEBI:26878,CHEBI:38104,CHEBI:61778,CHEBI:35990,CHEBI:23824,CHEBI:63353
CHEBI:23643 CHEBI:16670
CHEBI:73700 CHEBI:46761
CHEBI:28824 CHEBI:35348,CHEBI:26125
CHEBI:421707 CHEBI:38001
CHEBI:73427 CHEBI:46761
CHEBI:46855 CHEBI:22453,CHEBI:33716
CHEBI:38166 CHEBI:33671,CHEBI:24532
CHEBI:62604 CHEBI:35910,CHEBI:38836
CHEBI:7576 CHEBI:36807
CHEBI:26078 CHEBI:59698
CHEBI:28103 CHEBI:38739
CHEBI:31009 CHEBI:27283,CHEBI:39418
CHEBI:33251 CHEBI:33238,CHEBI:33260
CHEBI:46673 CHEBI:33925
CHEBI:68374 CHEBI:38739
CHEBI:75756 CHEBI:33563
CHEBI:848 CHEBI:22251
CHEBI:63503 CHEBI:24403
CHEBI:58326 CHEBI:33719
CHEBI:64195 CHEBI:26151,CHEBI:37143,CHEBI:64196
CHEBI:17559 CHEBI:38958,CHEBI:38481,CHEBI:22798
CHEBI:30396 CHEBI:33338
CHEBI:71252 CHEBI:35274,CHEBI:25697
CHEBI:64313 CHEBI:60783
CHEBI:39455 CHEBI:35871,CHEBI:36066,CHEBI:17087
CHEBI:73563 CHEBI:47923
CHEBI:68410 CHEBI:33853,CHEBI:37581,CHEBI:27171
CHEBI:16463 CHEBI:36711
CHEBI:58222 CHEBI:36059,CHEBI:35902
CHEBI:43088 CHEBI:28538,CHEBI:47827
CHEBI:43040 CHEBI:21653,CHEBI:25384,CHEBI:50760,CHEBI:33704
CHEBI:29117 CHEBI:47909,CHEBI:51689,CHEBI:35343
CHEBI:65142 CHEBI:63436,CHEBI:22480,CHEBI:37909
CHEBI:27409 CHEBI:50128,CHEBI:48039
CHEBI:18377 CHEBI:33704
CHEBI:32813 CHEBI:28965,CHEBI:24436
CHEBI:71991 CHEBI:70970,CHEBI:22485
CHEBI:70639 CHEBI:50860
CHEBI:35594 CHEBI:35555,CHEBI:26407
CHEBI:65484 CHEBI:36244,CHEBI:25384,CHEBI:25872
CHEBI:50356 CHEBI:51069,CHEBI:24858
CHEBI:33792 CHEBI:33791
CHEBI:60322 CHEBI:59266,CHEBI:22485,CHEBI:37909
CHEBI:18000 CHEBI:22331,CHEBI:64365
CHEBI:48587 CHEBI:48585,CHEBI:24780
CHEBI:5171 CHEBI:36130,CHEBI:25872
CHEBI:66633 CHEBI:33853,CHEBI:51308,CHEBI:25235
CHEBI:55518 CHEBI:22475
CHEBI:45892 CHEBI:37143
CHEBI:22744 CHEBI:50325,CHEBI:33452
CHEBI:30231 CHEBI:37381
CHEBI:30676 CHEBI:35166,CHEBI:51002
CHEBI:76503 CHEBI:23824,CHEBI:35759,CHEBI:35748
CHEBI:9702 CHEBI:48369
CHEBI:52075 CHEBI:50211
CHEBI:67517 CHEBI:50860
CHEBI:33885 CHEBI:4153
CHEBI:44604 CHEBI:51569,CHEBI:35716,CHEBI:33853
CHEBI:17941 CHEBI:16648
CHEBI:69329 CHEBI:26979,CHEBI:25698,CHEBI:35681,CHEBI:76704,CHEBI:3992,CHEBI:37581
CHEBI:28968 CHEBI:24442
CHEBI:67096 CHEBI:36093
CHEBI:33853 CHEBI:33659,CHEBI:33822
CHEBI:70030 CHEBI:50860
CHEBI:63992 CHEBI:59644,CHEBI:24654,CHEBI:26208,CHEBI:6497,CHEBI:15904
CHEBI:3697 CHEBI:15705
CHEBI:65394 CHEBI:47622,CHEBI:26195,CHEBI:20857,CHEBI:46955
CHEBI:32984 CHEBI:22485,CHEBI:49236
CHEBI:51502 CHEBI:50356,CHEBI:26513
CHEBI:73572 CHEBI:47923
CHEBI:68006 CHEBI:75885,CHEBI:25698,CHEBI:26188
CHEBI:24012 CHEBI:36757,CHEBI:51688
CHEBI:52864 CHEBI:52838,CHEBI:32876
CHEBI:65784 CHEBI:24689
CHEBI:16914 CHEBI:50778
CHEBI:34127 CHEBI:24644
CHEBI:69074 CHEBI:50860
